timestamp,session_id,request_id,query,stage,route,agent,source,score,vector_dim,vector_preview,retrieved,prompt_chars,prompt_preview,raw_output_preview,final_output_preview
2025-11-03T10:35:23,20251103_103455_223830,REQ_61e5de73,vectorstore_init,vectorstore_init,,code,load_drive_docs,,768,,"chunks=1537, chunk_chars=1000, overlap=200, emb_model=sentence-transformers/all-mpnet-base-v2",,,,
2025-11-03T10:35:23,20251103_103455_223830,REQ_61e5de73,how to change the temperature from 200 K to 220 K?,embedding_query,,code,,,768,"[-0.02069, -0.04575, -0.03591, -0.00622, -0.03266, 0.03002, -0.04915, 0.02232, 0.05028, 0.02591]",,,,,
2025-11-03T10:35:23,20251103_103455_223830,REQ_61e5de73,how to change the temperature from 200 K to 220 K?,retrieval,,code,,"best=0.932, avg=1.041, spread=0.195, conf=0.4899",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.9320414543151856, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.9819668054580689, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 1.0222488641738892, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 1.0356016159057617, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 1.050841534137726, 'snippet': 'TEMP_SP The set point of the controller in ohms, volts, etc.  T_LO_SP The lower limit for the controller set point.  T_HI_SP The upper limit for the controller set point.  DEGC_SP The temperature from which the set point is derived.  TEMP_CS The valu'}, {'source': 'spec Manual cambria.pdf', 'score': 1.087757956981659, 'snippet': ""to a new  set point. If the ramp time is greater than 500 seconds, the temperature is  changed every  10 seconds, otherwise the temperature is changed every 2 seconds.   # Read or set or ramp the temperature def  teramp '{  if ($# == 1) {  te $1  } e""}, {'source': 'spec Manual cambria.pdf', 'score': 1.0910742282867432, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'rot_macros.mac', 'score': 1.1267807722091676, 'snippet': 'def cryoset(temper, waitseconds) \'{  cryoramp(360,temper)  sleep(0.1)  cryoramp(360,temper)  sleep(0.1)  cryoget()  sleep(0.1)  cryoramp(360,temper)  sleep(waitseconds)  p sprintf( ""Temperature = %g"", cryoget()) }\'  def cryoset_autowait(temper) \'{  l'}]",158,,,
2025-11-03T10:35:23,20251103_103455_223830,REQ_61e5de73,how to change the temperature from 200 K to 220 K?,prompt,,code,,"top_k=8, token_est=2021",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'rot_macros.mac']",8087, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to return the correct SPEC command that ex,,
2025-11-03T10:35:26,20251103_103455_223830,REQ_61e5de73,"
You are an expert in the SPEC beamline control language (Ce",llm_call,,code,codellama:7b-instruct,2372.6155757904053,,,,8087,," The command to change the temperature from 200 K to 220 K is:  `settemp 220`  This sets the temperature set point to 220 K, which will be used by the temperature controller to maintain a constant tem",
2025-11-03T10:35:26,20251103_103455_223830,REQ_61e5de73,how to change the temperature from 200 K to 220 K?,parser_check,,code,,False,,,,,,"The command to change the temperature from 200 K to 220 K is:  `settemp 220`  This sets the temperature set point to 220 K, which will be used by the temperature controller to maintain a constant temp",
2025-11-03T10:35:26,20251103_103455_223830,REQ_61e5de73,how to change the temperature from 200 K to 220 K?,final,,code,,"conf=0.4899, latency_ms=2372.6, parser_ok=False",,,,,,,"The command to change the temperature from 200 K to 220 K is:  `settemp 220`  This sets the temperature set point to 220 K, which will be used by the temperature controller to maintain a constant temp"
2025-11-03T10:35:52,20251103_103455_223830,REQ_35e2b3ea,write a spec code to change the temperature from 200 K to 220 K,embedding_query,,code,,,768,"[-0.02967, -0.04159, -0.04058, -0.0292, -0.02936, -0.00812, -0.02876, 0.00578, 0.03818, 0.00447]",,,,,
2025-11-03T10:35:52,20251103_103455_223830,REQ_35e2b3ea,write a spec code to change the temperature from 200 K to 220 K,retrieval,,code,,"best=0.774, avg=0.836, spread=0.096, conf=0.5447",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.7744489073753357, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.7832835674285888, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.8331693828105927, 'snippet': 'TEMP_SP The set point of the controller in ohms, volts, etc.  T_LO_SP The lower limit for the controller set point.  T_HI_SP The upper limit for the controller set point.  DEGC_SP The temperature from which the set point is derived.  TEMP_CS The valu'}, {'source': 'spec Manual cambria.pdf', 'score': 0.8336579740047455, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.8604987859725952, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.8647366225719452, 'snippet': ""to a new  set point. If the ramp time is greater than 500 seconds, the temperature is  changed every  10 seconds, otherwise the temperature is changed every 2 seconds.   # Read or set or ramp the temperature def  teramp '{  if ($# == 1) {  te $1  } e""}, {'source': 'HDRMscans.mac', 'score': 0.8664458870887757, 'snippet': 'phi 180 0 1800 .1 sleep(1) closes   \'  def greven_nov_tdep_lsco \' #heating for (loopT=130; loopT<=200; loopT=loopT+5){   eval(sprintf(""onextalscan %s 180"",loopT)) } \'  def greven_nov_tdep_oneaxis \' #cooling usage greven_nov_tdep start_T end_T T_step '}, {'source': 'spec Manual cambria.pdf', 'score': 0.8703150749206543, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}]",160,,,
2025-11-03T10:35:52,20251103_103455_223830,REQ_35e2b3ea,write a spec code to change the temperature from 200 K to 220 K,prompt,,code,,"top_k=8, token_est=1989",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'HDRMscans.mac', 'spec Manual cambria.pdf']",7959, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to return the correct SPEC command that ex,,
2025-11-03T10:35:54,20251103_103455_223830,REQ_35e2b3ea,"
You are an expert in the SPEC beamline control language (Ce",llm_call,,code,codellama:7b-instruct,1712.3475074768066,,,,7959,," The SPEC command to change the temperature from 200 K to 220 K is: ``` teramp 220 ``` This command uses the `teramp` macro, which ramps the temperature from the current set point to a new set point. ",
2025-11-03T10:35:54,20251103_103455_223830,REQ_35e2b3ea,write a spec code to change the temperature from 200 K to 220 K,parser_check,,code,,False,,,,,,"The SPEC command to change the temperature from 200 K to 220 K is: ``` teramp 220 ``` This command uses the `teramp` macro, which ramps the temperature from the current set point to a new set point. T",
