timestamp,session_id,request_id,event,original_query,rewritten_query,route,confidence,method,agent,grounded,parser_passed,inferred,prompt_chars,sources,preview
2025-11-03T00:19:10,20251103_001905_51dfeb,REQ_ea01b148,user_query_received,hey,,,,llm-rag,code,,,,,,
2025-11-03T00:19:10,20251103_001905_51dfeb,REQ_ea01b148,query_rewrite,hey,SPEC macro example showing usage of hey,code,,,code,,,,,,
2025-11-03T00:19:26,20251103_001905_51dfeb,REQ_ea01b148,ui_return,hey,SPEC macro example showing usage of hey,,0.5841,,code,,False,,7973,"['SPEC manual pymca.pdf', 'spec Manual cambria.pdf', 'SPEC manual pymca.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']","def hey(name) ' \n     print ""Hey there, "", name, ""!"" \n '"
2025-11-03T00:20:35,20251103_001905_51dfeb,REQ_00a42468,user_query_received,spec macro code for changing the temperature from 200 K to 230 K,,,,llm-rag,code,,,,,,
2025-11-03T00:20:35,20251103_001905_51dfeb,REQ_00a42468,query_rewrite,spec macro code for changing the temperature from 200 K to 230 K,spec macro code for changing the temperature from 200 K to 230 K,code,,,code,,,,,,
2025-11-03T00:20:37,20251103_001905_51dfeb,REQ_00a42468,ui_return,spec macro code for changing the temperature from 200 K to 230 K,spec macro code for changing the temperature from 200 K to 230 K,,0.6374,,code,,False,,6842,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def teramp ' if ($# == 1) { te $1 } else if ($# == 2) { local _i _s1 _f1 _d1 _rtime _stime  _f1 = $1  _rtime = $2  _stime = _rtime < 500? 2:10  _s1 = TEMP_SP  _d1 = (_f1 - _s1) / _rtime * _stime  qcom
2025-11-03T00:21:14,20251103_001905_51dfeb,REQ_fe2df2dd,user_query_received,how to change the temperature from 200 K to 230 K?,,,,llm-rag,code,,,,,,
2025-11-03T00:21:14,20251103_001905_51dfeb,REQ_fe2df2dd,query_rewrite,how to change the temperature from 200 K to 230 K?,how to change the temperature from 200 K to 230 K?,code,,,code,,,,,,
2025-11-03T00:21:16,20251103_001905_51dfeb,REQ_fe2df2dd,ui_return,how to change the temperature from 200 K to 230 K?,how to change the temperature from 200 K to 230 K?,,0.5516,,code,,False,,6833,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def teramp ' if ($# == 1) { te $1 } else if ($# == 2) { local _i _s1 _f1 _d1 _rtime _stime  _f1 = $1  _rtime = $2  _stime = _rtime < 500? 2:10  _s1 = TEMP_SP  _d1 = (_f1 - _s1) / _rtime * _stime  qcom
2025-11-03T00:21:36,20251103_001905_51dfeb,REQ_98218a91,user_query_received,spec macro code for displaying history,,,,llm-rag,code,,,,,,
2025-11-03T00:21:36,20251103_001905_51dfeb,REQ_98218a91,query_rewrite,spec macro code for displaying history,spec macro code for displaying history,code,,,code,,,,,,
2025-11-03T00:21:37,20251103_001905_51dfeb,REQ_98218a91,ui_return,spec macro code for displaying history,spec macro code for displaying history,,0.5951,,code,,False,,7684,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def history_display() { \n     # Display the command history \n     for (i = 0; i < $1; i++) { \n         print(history[i]); \n     } \n }
2025-11-03T00:23:15,20251103_001905_51dfeb,REQ_f20482c9,user_query_received,code for finding factorial of n,,,,llm-rag,code,,,,,,
2025-11-03T00:23:15,20251103_001905_51dfeb,REQ_f20482c9,query_rewrite,code for finding factorial of n,code for finding factorial of n,code,,,code,,,,,,
2025-11-03T00:23:15,20251103_001905_51dfeb,REQ_f20482c9,ui_return,code for finding factorial of n,code for finding factorial of n,,0.5019,,code,,False,,8183,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def factorial(n) '{  if (n <= 1)  return(1); return(n *  factorial(n-1))  }'
2025-11-03T00:24:00,20251103_001905_51dfeb,REQ_ccd522d6,user_query_received,code to convert 360 degrees to radians,,,,llm-rag,code,,,,,,
2025-11-03T00:24:00,20251103_001905_51dfeb,REQ_ccd522d6,query_rewrite,code to convert 360 degrees to radians,code to convert 360 degrees to radians,code,,,code,,,,,,
